Time: 3034, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.78, IMU Accel X: 0.05, IMU Accel Y: -9.99, IMU Accel Z: -0.14, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 12.97, Accel Z: -3.84
Time: 3063, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.00, IMU Accel Y: -9.97, IMU Accel Z: -0.16, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 12.97, Accel Z: -3.84
Time: 3092, BMP Temp: 32.15, BMP Pressure: 1006.56, BMP Altitude: 55.82, IMU Accel X: -0.01, IMU Accel Y: -10.00, IMU Accel Z: -0.19, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 3122, BMP Temp: 32.15, BMP Pressure: 1006.56, BMP Altitude: 55.83, IMU Accel X: -0.05, IMU Accel Y: -10.07, IMU Accel Z: -0.16, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 13.45, Accel Z: -4.32
Time: 3151, BMP Temp: 32.15, BMP Pressure: 1006.56, BMP Altitude: 55.81, IMU Accel X: -0.15, IMU Accel Y: -9.99, IMU Accel Z: -0.16, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.36
Time: 3180, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: 0.01, IMU Accel Y: -10.00, IMU Accel Z: -0.26, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 3209, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.04, IMU Accel Y: -9.99, IMU Accel Z: -0.22, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.36
Time: 3238, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.07, IMU Accel Y: -10.02, IMU Accel Z: -0.10, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 3267, BMP Temp: 32.15, BMP Pressure: 1006.59, BMP Altitude: 55.64, IMU Accel X: -0.01, IMU Accel Y: -9.98, IMU Accel Z: -0.07, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 3296, BMP Temp: 32.15, BMP Pressure: 1006.59, BMP Altitude: 55.60, IMU Accel X: -0.03, IMU Accel Y: -9.99, IMU Accel Z: -0.21, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.81
